Name,Year,Credits,Classes Taken...
Yajaira Cope,4,109,"CSC340, PHY112, CSC440, WRT104, MTH141, CSC412, CSC440, MTH141, CSC211, MTH180, CSC372, MTH215, CSC305, MTH180, CSC402, MTH142, CSC411, MTH141"
Rhett Colson,2,40,"CSC211, CSC477, CSC412, CSC211, CSC440, MTH215"
Cristina Krebs,2,57,"CSC110, CSC402, CSC340, CSC477, MTH142, CSC402, PHY111, MTH215, CSC310"
Jorge Masterson,4,83,"CSC301, WRT104, CSC211, MTH180, CSC211, PHY111, CSC412, CSC411, CSC212, WRT104, MTH215, CSC211, CSC440"
Joshua Thorn,4,56,"CSC372, WRT104, PHY112, CSC310, PHY111, MTH141, MTH215, CSC106, CSC477"
Tara Nix,2,30,"CSC212, CSC477, MTH141, CSC310, CSC412"
Zackery Goff,2,50,"WRT104, PHY111, CSC211, CSC372, CSC301, CSC110, MTH215, WRT104"
Alvin Bowling,2,35,"CSC305, CSC402, CSC106, CSC402, MTH180"
Roxanna Jaime,1,12,"CSC412, CSC301"
Layla Baltazar,1,37,"CSC372, CSC340, MTH215, WRT104, MTH180, CSC372"
Adrianna McCall,2,33,"MTH142, WRT104, CSC305, CSC310, MTH141"
Rohan Toler,2,40,"CSC212, CSC106, CSC305, MTH141, CSC211, CSC402"
Dandre Dalton,1,16,"MTH215, CSC212"
Myron Manuel,1,22,"CSC440, MTH142, CSC411"
Marquis Johnson,3,109,"MTH215, CSC301, MTH180, MTH142, MTH142, CSC440, CSC305, PHY112, CSC106, WRT227, WRT227, CSC340, CSC440, CSC106, CSC340, CSC402, CSC440, CSC301"
Unique Dill,1,19,"MTH142, CSC440, PHY111"
Drew Lea,2,43,"CSC340, CSC402, CSC372, CSC402, CSC412, CSC301, CSC110"
Ronan Comstock,2,36,"CSC301, CSC340, CSC211, WRT227, CSC402, MTH180"
Deshawn Tate,2,67,"WRT227, CSC372, CSC301, CSC110, CSC301, MTH142, CSC402, CSC106, MTH141, PHY112, CSC110"
Jaiden Gruber,3,30,"CSC402, CSC372, MTH215, PHY111, PHY112"
Daisha Harmon,1,11,CSC402
Rhiannon Waggoner,3,60,"CSC212, CSC305, MTH180, CSC440, MTH215, CSC106, CSC340, CSC412, CSC372, PHY111"
Isaias Schulze,1,23,"WRT104, MTH215, MTH215"
Rowan Brunner,2,68,"CSC110, MTH142, CSC411, WRT104, PHY111, CSC477, MTH215, CSC477, MTH142, MTH142, CSC372"
Dionte Tuttle,3,43,"PHY112, PHY112, CSC402, PHY111, PHY112, PHY111, MTH142"
Deshaun Ayala,1,33,"CSC411, CSC301, CSC211, CSC477, CSC310"
Shanya Askew,2,49,"CSC411, CSC340, CSC440, MTH180, CSC412, CSC477, CSC212, MTH180"
Marlon Oreilly,2,61,"MTH180, CSC211, CSC305, MTH215, CSC212, MTH142, CSC212, CSC412, MTH141, MTH180"
Kaitlyn Krueger,2,78,"CSC310, MTH180, WRT227, CSC310, CSC211, CSC412, MTH215, MTH142, CSC301, CSC402, CSC301, CSC402, CSC412"
Luc Hollis,2,65,"CSC372, CSC310, CSC310, CSC301, CSC402, CSC477, WRT104, MTH141, CSC402, CSC301"
Aryana Stoltzfus,2,21,"MTH180, CSC372, CSC310"
Trinity Garber,2,47,"CSC305, CSC340, CSC412, CSC412, CSC402, CSC305, CSC440"
Frank Hooper,2,28,"PHY111, CSC305, CSC106, PHY112"
Xzavier Schaefer,2,54,"MTH180, WRT227, CSC212, PHY112, CSC301, CSC440, CSC301, CSC310, CSC310"
Tayla Pappas,2,25,"WRT104, CSC310, CSC310, CSC305"
Tyriq Mata,2,39,"CSC411, CSC211, WRT104, CSC301, CSC440, CSC212"
Brennan Guidry,2,24,"MTH180, CSC411, CSC411, CSC305"
Coy Poirier,3,79,"MTH215, MTH141, WRT104, CSC372, MTH141, MTH141, PHY112, CSC305, MTH180, CSC372, MTH215, CSC110, CSC211"
Nallely Bassett,2,51,"WRT227, MTH141, CSC212, CSC412, PHY112, CSC211, CSC402, CSC412"
Bailey Schulz,3,88,"CSC372, PHY112, CSC301, MTH142, MTH180, CSC411, CSC402, PHY112, MTH215, CSC310, CSC212, CSC305, WRT104, PHY111"
Leon Hamel,1,33,"PHY111, CSC402, CSC372, CSC440, CSC412"
Brayan Cordell,3,54,"CSC372, CSC305, CSC412, CSC305, CSC110, WRT104, MTH215, CSC411, CSC211"
Koby Gilchrist,1,29,"CSC402, MTH142, MTH142, MTH142"
Donna Sparks,1,21,"CSC110, MTH142, MTH215"
Jair Mueller,2,33,"CSC412, CSC412, CSC411, PHY111, CSC106"
Mckinley Schmitz,1,20,"CSC372, CSC412, PHY111"
Deven Leyva,1,20,"PHY112, WRT227, CSC402"
Lane Clifford,3,61,"CSC402, MTH142, CSC106, MTH141, CSC402, CSC110, MTH215, CSC440, MTH141, CSC412"
Blake Silva,2,26,"CSC305, CSC106, CSC301, CSC106"
Brayan Mulligan,2,64,"CSC106, CSC310, PHY111, MTH180, CSC310, MTH215, CSC440, CSC310, CSC440, CSC110"
Betty Cochran,1,13,"CSC412, MTH141"
Maren Wolfe,3,107,"CSC212, PHY111, CSC372, CSC477, CSC372, CSC310, CSC402, MTH215, CSC440, PHY112, CSC305, WRT104, WRT227, CSC412, PHY111, MTH215, CSC340"
Joshua Hunt,1,26,"MTH180, PHY111, CSC340, PHY112"
Kylah Flanagan,3,49,"MTH215, CSC110, CSC212, MTH180, MTH180, CSC411, MTH180, CSC477"
Talon Vang,1,28,"PHY111, CSC211, CSC310, CSC372"
Dandre Taft,1,20,"MTH180, WRT104, WRT227"
Tiera Tam,2,78,"MTH141, CSC310, MTH141, CSC310, PHY111, MTH215, MTH215, CSC372, WRT104, CSC305, CSC106, PHY112, MTH141"
Mikel Whitmore,2,37,"MTH141, CSC477, WRT104, CSC477, CSC110, CSC106"
Kameron Qualls,1,26,"CSC305, CSC212, CSC110, CSC106"
Kiersten Muniz,2,27,"MTH142, CSC110, CSC212, PHY112"
Joey Butcher,3,100,"CSC411, MTH215, CSC106, MTH180, WRT227, CSC211, CSC477, CSC301, WRT227, CSC212, CSC106, CSC412, MTH142, CSC440, WRT227, MTH215"
Charlene Helton,3,47,"MTH215, PHY111, PHY111, MTH141, CSC372, PHY112, PHY111"
Stephan Vue,1,20,"CSC372, CSC372, CSC211"
Emilio Gallagher,2,68,"CSC211, CSC106, PHY112, CSC440, CSC301, CSC372, CSC310, CSC301, MTH215, CSC110, CSC106"
Misael Reich,1,13,"CSC106, CSC301"
Jordin Crawford,1,28,"CSC372, CSC305, CSC440, CSC211"
Maia Nadeau,2,40,"CSC106, CSC110, CSC310, PHY111, MTH215, MTH180"
Chantel Vines,1,12,"MTH142, CSC402"
Melody Broughton,1,10,CSC477
Katherine Grove,2,28,"CSC305, CSC110, WRT227, CSC212"
Jamila German,1,21,"MTH142, CSC212, CSC212"
Brenda Gilley,3,110,"CSC440, CSC402, WRT227, CSC211, CSC411, CSC106, CSC310, CSC301, CSC411, CSC412, WRT104, CSC301, CSC372, PHY111, MTH141, CSC411, PHY112, CSC110"
Rafael McKinnon,2,25,"PHY111, MTH215, CSC110, CSC310"
Ibrahim Proffitt,2,62,"CSC402, MTH180, MTH142, WRT104, MTH142, CSC372, CSC305, CSC411, CSC412, CSC412"
Maeve Travis,2,26,"CSC310, CSC106, WRT104, CSC477"
Shreya Chambers,1,12,"CSC477, CSC310"
Beau Hirsch,3,99,"MTH142, CSC402, CSC340, MTH142, CSC212, CSC440, CSC212, MTH180, CSC412, MTH215, MTH142, PHY111, MTH141, CSC211, CSC212, WRT104"
Bruce Dove,3,31,"CSC106, CSC212, CSC372, CSC402, CSC372"
Kayden Avila,2,23,"WRT227, CSC440, CSC402"
Demond Espino,2,69,"CSC110, CSC305, CSC301, CSC340, CSC372, PHY111, CSC412, CSC412, CSC372, CSC402, PHY111"
Kirsten Main,2,32,"CSC411, WRT104, MTH215, CSC411, CSC110"
Citlali Traylor,2,72,"CSC305, MTH141, CSC106, PHY111, MTH215, MTH141, MTH141, CSC110, PHY112, CSC402, CSC340, PHY111"
Elliot Krueger,1,25,"MTH141, CSC211, CSC402, CSC402"
Terrell Riggins,1,31,"CSC305, PHY112, MTH141, CSC305, CSC411"
Jamie Rossi,2,64,"CSC372, MTH215, CSC340, CSC211, CSC305, CSC402, CSC305, PHY112, MTH142, CSC411"
Arthur Lankford,2,29,"WRT227, CSC106, CSC301, CSC477"
Ashtyn Jefferson,2,59,"CSC372, MTH142, MTH215, CSC301, WRT104, MTH215, CSC310, WRT227, CSC110"
Kavon Grice,1,30,"MTH141, CSC372, CSC440, CSC340, CSC402"
Karley James,2,36,"CSC340, CSC106, CSC411, CSC412, CSC301, CSC310"
Lillie Corona,1,20,"MTH215, CSC310, CSC340"
Catalina Peebles,1,20,"WRT227, CSC340, PHY112"
Cyrus Rasmussen,2,25,"CSC412, MTH142, CSC372, CSC110"
Rex Anthony,1,31,"CSC402, PHY112, CSC372, CSC412, CSC212"
Dillan Bourgeois,1,35,"MTH180, PHY111, CSC106, CSC411, CSC310"
Sahara Crenshaw,1,14,"CSC110, WRT104"
Alfred Dillard,1,32,"CSC211, MTH180, CSC477, CSC340, MTH215"
Ray Coates,1,21,"CSC212, CSC477, MTH215"
Carly Tice,1,36,"PHY111, CSC412, CSC440, WRT104, CSC372, CSC412"
Rashawn Goodwin,2,23,"PHY111, CSC402, CSC440"
Monika Holman,1,24,"CSC310, CSC412, CSC110, CSC412"
Shelby Solorzano,2,22,"WRT104, CSC301, CSC411"
Guy Clay,2,73,"PHY112, CSC412, CSC310, CSC412, CSC372, CSC301, PHY111, CSC212, CSC305, MTH141, WRT104, CSC106"
Leonardo Wingate,1,38,"CSC106, PHY112, CSC110, MTH141, PHY112, PHY111"
Pierre Hussey,1,23,"WRT227, CSC440, CSC211"
Deondre Lucas,1,17,"CSC477, CSC340"
Kelsea Dick,2,66,"CSC212, CSC372, CSC402, CSC440, CSC402, PHY112, CSC110, CSC402, CSC477, CSC211, MTH215"
Jermaine Austin,2,29,"PHY111, WRT227, PHY112, CSC301"
Garrett Kemper,2,54,MTH180
Kamden Ashmore,3,60,CSC211
Kishan Patel,2,32,"CSC211, MTH180"
Andrew Teh,1,15,"MTH180, CSC211"
Jonathan Schrader,4,108,"CSC211, CSC212, MTH180, CSC340"
John Doe,1,0,
Jimmy Neutron,4,180,"CSC106, CSC110, CSC211, CSC212, CSC301, CSC305, CSC340, CSC411, CSC412, CSC440, CSC477, CSC310, CSC372, CSC402, MTH180, MTH141, MTH142, MTH215, PHY111, PHY112, WRT104, WRT227"
Emily Capwell,2,41,"CSC211, CSC212, WRT104, CSC110, MTH180, CSC212"
Alexis Reynoso,3,104,"CSC212, CSC402, CSC411, CSC477, CSC212, MTH142, CSC477, CSC402, CSC310, MTH215, CSC440, MTH180, MTH142, WRT104, MTH142, MTH180, CSC412"
Susannah Mancuso,4,108,"CSC340, CSC212, CSC106, CSC372, PHY111, CSC211, MTH142, PHY111, CSC110, CSC106, CSC412, WRT104, MTH141, MTH180, CSC301, CSC212, CSC106, MTH142"
Yehuda Slagle,2,52,"CSC310, CSC411, WRT104, PHY111, WRT227, CSC305, CSC211, PHY111"
Keon Caswell,4,102,"CSC301, CSC440, CSC411, CSC340, CSC110, CSC340, CSC301, MTH142, CSC211, CSC440, CSC412, PHY112, CSC212, MTH142, CSC340, CSC440, CSC402"
Martin Bravo,4,157,"CSC212, MTH141, CSC110, PHY112, CSC411, MTH142, CSC305, CSC301, CSC340, CSC440, CSC372, MTH180, CSC340, CSC212, WRT104, CSC301, CSC477, CSC310, CSC212, PHY112, PHY111, MTH215, MTH180, CSC301, CSC310, CSC411"
Gregorio Schaffer,1,27,"CSC412, CSC211, CSC106, CSC411"
Jelani Mena,2,55,"CSC110, CSC211, MTH180, PHY111, MTH141, CSC106, CSC440, CSC310, CSC305"
Monserrat Hadley,1,36,"CSC372, CSC402, MTH180, PHY111, CSC305, CSC212"
Marques Huang,1,39,"WRT104, CSC340, MTH142, CSC340, CSC440, CSC411"
Sadie Sheldon,2,27,"CSC212, CSC305, CSC477, CSC411"
Karleigh Snead,2,21,"CSC477, WRT104, WRT227"
Dangelo Parra,1,20,"CSC310, CSC305, CSC212"
Mandy Himes,4,51,"CSC211, MTH141, CSC305, CSC411, CSC411, MTH180, CSC212, WRT104"
Clint Bush,1,21,"CSC372, CSC372, CSC412"
Shelly Griffith,4,47,"CSC412, CSC440, MTH215, PHY112, CSC402, MTH180, CSC412"
Jake Vieira,3,92,"MTH215, WRT227, MTH215, WRT104, MTH215, CSC402, PHY111, CSC106, PHY112, CSC212, CSC411, CSC411, CSC402, CSC310, CSC440"
Bernard Sanderson,2,42,"CSC411, PHY111, WRT227, CSC106, CSC211, PHY112, WRT104"
Harris Forman,2,77,"CSC301, PHY111, CSC412, CSC477, CSC412, CSC106, CSC340, MTH215, PHY111, CSC212, CSC212, CSC106"
Joshua Shay,2,60,"WRT104, CSC477, CSC411, CSC110, CSC412, CSC106, CSC477, MTH141, MTH180, CSC110"
Keshaun Ogle,4,133,"MTH215, MTH180, CSC211, CSC310, CSC477, PHY111, CSC372, CSC211, CSC110, CSC106, WRT104, MTH141, CSC411, CSC402, CSC372, CSC402, CSC340, CSC211, WRT104, MTH142, CSC310, CSC305"
Chaya Crowell,3,47,"CSC411, CSC212, CSC440, CSC440, CSC412, CSC411, WRT104"
Klarissa Harkins,3,61,"WRT227, WRT104, MTH215, CSC110, CSC477, CSC106, PHY112, CSC402, CSC211, CSC305"
Jaquez Paris,4,40,"WRT227, CSC110, CSC402, CSC212, CSC372, CSC412"
Marcelo Hess,4,118,"CSC477, MTH141, CSC477, CSC301, MTH215, CSC212, CSC305, CSC372, CSC440, CSC211, CSC412, PHY111, MTH180, CSC412, CSC440, CSC212, PHY111, WRT104, MTH215"
Margo Palma,3,73,"CSC305, CSC477, CSC211, CSC301, CSC110, CSC310, CSC212, CSC440, CSC402, CSC305, CSC301, CSC440"
Briley Brenner,2,31,"PHY112, MTH141, CSC340, CSC301, MTH141"
Kathleen Gary,4,82,"CSC340, CSC411, PHY112, MTH141, WRT104, MTH141, MTH141, CSC110, CSC477, MTH180, CSC110, CSC106, MTH215"
Presley Broughton,4,131,"CSC301, CSC305, MTH142, WRT227, CSC477, MTH180, CSC372, CSC110, CSC440, CSC211, CSC211, PHY112, MTH180, WRT227, CSC305, CSC477, CSC372, PHY112, CSC310, MTH142, PHY112"
Anabel Pritchard,4,148,"CSC440, CSC440, WRT227, CSC411, CSC402, CSC305, MTH142, CSC301, CSC411, CSC110, CSC440, MTH141, PHY112, WRT227, CSC372, CSC412, PHY112, WRT104, WRT104, CSC110, CSC110, CSC301, MTH215, CSC106"
Litzy Heinz,4,51,"MTH142, CSC412, PHY111, CSC310, CSC477, WRT227, CSC477, CSC110"
Tasha Dietrich,2,49,"CSC412, CSC372, CSC440, CSC310, CSC411, PHY111, PHY111, CSC440"
Beatriz Haag,1,19,"CSC412, MTH215, CSC340"
Fernando Combs,4,120,"CSC372, WRT104, CSC305, CSC440, MTH142, PHY112, CSC305, CSC110, PHY112, CSC412, WRT104, CSC212, MTH141, MTH141, CSC305, CSC310, CSC211, MTH215, CSC402, CSC340"
Jaidyn Maloney,3,76,"PHY111, MTH215, MTH142, CSC402, CSC212, CSC212, CSC411, CSC301, CSC212, PHY112, MTH215, MTH142"
Harvey Villareal,3,84,"CSC411, CSC372, CSC340, CSC340, CSC477, WRT227, WRT227, CSC340, WRT104, MTH141, PHY112, PHY112, CSC340, CSC212"
Triniti Moffett,3,53,"PHY112, CSC301, CSC411, CSC211, CSC412, MTH215, CSC110, CSC372"
Lamar Giordano,1,33,"CSC310, MTH141, CSC305, CSC402, CSC305"
Dimitri Vetter,2,38,"MTH215, CSC106, CSC372, CSC110, MTH142, MTH180"
Sheldon Hollins,3,62,"CSC301, MTH142, CSC301, CSC110, PHY112, CSC477, CSC340, CSC305, MTH142, CSC440"
David Creamer,3,103,"CSC106, WRT104, CSC305, CSC477, MTH215, CSC402, PHY111, WRT104, PHY112, CSC340, MTH142, CSC402, CSC212, CSC305, CSC211, CSC372, CSC372"
Bernardo Coffman,1,35,"MTH141, MTH142, PHY112, MTH141, CSC310"
Isabela Nagy,3,64,"CSC340, CSC411, CSC402, MTH215, CSC212, CSC372, PHY112, WRT227, CSC412, CSC411"
Hayden Rivers,2,57,"CSC412, CSC412, WRT227, CSC477, CSC211, CSC372, CSC106, CSC305, CSC412"
Emmett Correia,3,107,"CSC301, CSC110, CSC310, CSC110, CSC212, CSC305, MTH142, CSC440, CSC106, CSC412, WRT104, CSC305, PHY111, CSC402, MTH180, CSC402, CSC440"
Ernest Urbina,3,52,"PHY112, CSC310, CSC212, PHY112, CSC440, MTH142, CSC340, CSC110"
Maxwell Valentin,1,28,"CSC211, CSC301, CSC411, CSC110"
Nicolette Brower,2,21,"CSC340, MTH180, CSC340"
Hezekiah Hong,2,60,"MTH141, CSC310, CSC310, MTH142, PHY111, MTH180, CSC110, MTH180, CSC310, CSC440"
Davis Yee,4,159,"CSC477, MTH142, MTH142, CSC305, CSC340, WRT104, CSC340, PHY111, CSC411, CSC310, CSC340, PHY112, CSC301, CSC412, CSC440, CSC212, WRT227, MTH141, MTH215, CSC110, CSC110, CSC310, CSC372, CSC305, MTH215, CSC301"
Makenna Gooden,1,18,"CSC412, CSC440, CSC301"
Darrius Martens,1,31,"MTH142, PHY111, CSC412, MTH141, CSC402"
Tayla Newby,3,85,"CSC212, CSC106, CSC412, CSC402, MTH142, PHY111, CSC402, CSC440, CSC372, CSC440, CSC211, CSC402, CSC305, WRT227"
Lourdes Quarles,1,31,"CSC110, CSC305, CSC310, WRT227, CSC440"
Avery Stine,1,13,"MTH142, CSC412"
Mckenzie Pepper,4,132,"CSC340, CSC412, CSC310, CSC211, MTH215, CSC412, MTH142, WRT104, MTH180, CSC212, CSC477, MTH215, MTH215, CSC212, MTH141, MTH142, CSC310, MTH215, CSC477, CSC402, CSC477, CSC301"
Ashlin Tully,4,138,"CSC402, WRT227, CSC301, CSC440, WRT227, CSC212, WRT227, CSC402, CSC110, WRT104, MTH142, CSC402, CSC212, CSC477, CSC411, PHY111, CSC372, CSC310, CSC440, CSC340, CSC110, CSC340, CSC110"
Gillian Willoughby,4,118,"MTH215, CSC211, CSC211, PHY111, CSC106, MTH142, CSC411, CSC110, CSC212, CSC411, CSC340, MTH142, PHY112, CSC411, CSC305, CSC402, MTH142, CSC301, CSC106"
Jan Coats,3,82,"PHY111, CSC305, CSC110, MTH142, MTH141, CSC372, CSC301, CSC411, CSC310, CSC301, CSC440, CSC412, CSC211"
Milena Bowie,2,77,"CSC106, WRT104, CSC340, CSC212, PHY112, CSC310, CSC440, CSC477, CSC402, CSC340, WRT227, CSC440"
Quinton McLeod,2,78,"CSC412, CSC212, MTH180, CSC212, CSC310, MTH142, CSC301, CSC477, WRT104, WRT227, WRT227, CSC310, CSC106"
Wendy Stine,2,58,"MTH180, CSC402, CSC305, CSC402, CSC412, CSC211, MTH215, MTH142, WRT227"
Asher Pendleton,1,18,"MTH141, CSC310, CSC340"
Riley Stewart,4,57,"CSC106, CSC106, MTH180, CSC212, MTH142, CSC412, WRT104, CSC477, CSC402"
Diane Serna,3,85,"MTH215, CSC211, CSC440, WRT104, CSC477, CSC211, CSC412, CSC372, CSC412, MTH141, CSC440, CSC411, CSC212, PHY111"
Brennon Lynch,2,34,"CSC110, CSC305, MTH141, CSC372, CSC477"
Augustine Melendez,1,37,"CSC477, CSC305, WRT104, PHY111, CSC411, CSC301"
Jair Rollins,3,93,"CSC305, MTH141, CSC110, WRT104, CSC372, CSC411, CSC402, CSC110, CSC211, MTH141, CSC402, CSC411, WRT227, MTH141, CSC402"
Lila Kang,4,65,"CSC402, CSC440, CSC211, WRT227, CSC372, MTH215, CSC412, CSC477, CSC411, CSC310"
Carol Purvis,3,105,"CSC440, PHY112, PHY112, CSC411, WRT227, CSC211, CSC340, CSC106, CSC412, CSC106, CSC301, CSC412, CSC305, CSC372, PHY111, CSC106, MTH215"
Rylee Torrez,4,80,"CSC412, CSC372, CSC305, CSC477, CSC340, CSC301, MTH141, CSC106, CSC402, WRT104, CSC372, CSC310, CSC477"
Jim Bacon,3,92,"CSC106, WRT104, PHY111, CSC211, CSC440, CSC411, CSC110, CSC372, CSC477, CSC372, CSC372, CSC340, CSC305, CSC477, WRT227"
Joaquin Longoria,2,44,"CSC211, CSC412, CSC106, CSC412, CSC305, PHY112, CSC106"
Shane Sowell,1,34,"WRT104, CSC110, CSC305, MTH141, MTH142"
Abdul Forbes,1,16,"CSC211, CSC411"
Braeden Franco,2,63,"CSC440, PHY112, MTH141, CSC305, CSC301, WRT104, MTH142, CSC212, MTH180, CSC412"
Rogelio Kellogg,1,26,"CSC440, MTH180, CSC440, CSC477"
Guadalupe Yancey,1,23,"CSC412, CSC211, CSC477"
Kaelyn Vincent,3,57,"CSC212, CSC310, CSC411, MTH180, PHY111, CSC310, CSC411, CSC340, CSC477"
Zaria Weber,1,12,"CSC212, PHY111"
Jaycee Zepeda,1,11,CSC411
Myles Epstein,1,32,"CSC412, CSC411, CSC110, PHY112, CSC440"
Baylor Perryman,3,103,"CSC402, CSC402, CSC310, CSC106, CSC411, CSC106, CSC402, CSC440, MTH180, MTH141, CSC212, CSC372, CSC211, MTH215, MTH142, CSC340, CSC340"
Deandra Santamaria,2,52,"CSC301, CSC440, CSC305, CSC440, MTH142, PHY112, CSC305, CSC305"
Caiden Sanderson,3,113,"CSC211, CSC440, CSC211, CSC212, CSC301, MTH141, WRT227, MTH180, CSC305, CSC310, CSC340, MTH141, MTH141, CSC372, CSC402, WRT104, MTH180, MTH142"
Yajaira Cope,4,109,"CSC340, PHY112, CSC440, WRT104, MTH141, CSC412, CSC440, MTH141, CSC211, MTH180, CSC372, MTH215, CSC305, MTH180, CSC402, MTH142, CSC411, MTH141"
Rhett Colson,2,40,"CSC211, CSC477, CSC412, CSC211, CSC440, MTH215"
Cristina Krebs,2,57,"CSC110, CSC402, CSC340, CSC477, MTH142, CSC402, PHY111, MTH215, CSC310"
Jorge Masterson,4,83,"CSC301, WRT104, CSC211, MTH180, CSC211, PHY111, CSC412, CSC411, CSC212, WRT104, MTH215, CSC211, CSC440"
Joshua Thorn,4,56,"CSC372, WRT104, PHY112, CSC310, PHY111, MTH141, MTH215, CSC106, CSC477"
Tara Nix,2,30,"CSC212, CSC477, MTH141, CSC310, CSC412"
Zackery Goff,2,50,"WRT104, PHY111, CSC211, CSC372, CSC301, CSC110, MTH215, WRT104"
Alvin Bowling,2,35,"CSC305, CSC402, CSC106, CSC402, MTH180"
Roxanna Jaime,1,12,"CSC412, CSC301"
Layla Baltazar,1,37,"CSC372, CSC340, MTH215, WRT104, MTH180, CSC372"
Adrianna McCall,2,33,"MTH142, WRT104, CSC305, CSC310, MTH141"
Rohan Toler,2,40,"CSC212, CSC106, CSC305, MTH141, CSC211, CSC402"
Dandre Dalton,1,16,"MTH215, CSC212"
Myron Manuel,1,22,"CSC440, MTH142, CSC411"
Marquis Johnson,3,109,"MTH215, CSC301, MTH180, MTH142, MTH142, CSC440, CSC305, PHY112, CSC106, WRT227, WRT227, CSC340, CSC440, CSC106, CSC340, CSC402, CSC440, CSC301"
Unique Dill,1,19,"MTH142, CSC440, PHY111"
Drew Lea,2,43,"CSC340, CSC402, CSC372, CSC402, CSC412, CSC301, CSC110"
Ronan Comstock,2,36,"CSC301, CSC340, CSC211, WRT227, CSC402, MTH180"
Deshawn Tate,2,67,"WRT227, CSC372, CSC301, CSC110, CSC301, MTH142, CSC402, CSC106, MTH141, PHY112, CSC110"
Jaiden Gruber,3,30,"CSC402, CSC372, MTH215, PHY111, PHY112"
Daisha Harmon,1,11,CSC402
Rhiannon Waggoner,3,60,"CSC212, CSC305, MTH180, CSC440, MTH215, CSC106, CSC340, CSC412, CSC372, PHY111"
Isaias Schulze,1,23,"WRT104, MTH215, MTH215"
Rowan Brunner,2,68,"CSC110, MTH142, CSC411, WRT104, PHY111, CSC477, MTH215, CSC477, MTH142, MTH142, CSC372"
Dionte Tuttle,3,43,"PHY112, PHY112, CSC402, PHY111, PHY112, PHY111, MTH142"
Deshaun Ayala,1,33,"CSC411, CSC301, CSC211, CSC477, CSC310"
Shanya Askew,2,49,"CSC411, CSC340, CSC440, MTH180, CSC412, CSC477, CSC212, MTH180"
Marlon Oreilly,2,61,"MTH180, CSC211, CSC305, MTH215, CSC212, MTH142, CSC212, CSC412, MTH141, MTH180"
Kaitlyn Krueger,2,78,"CSC310, MTH180, WRT227, CSC310, CSC211, CSC412, MTH215, MTH142, CSC301, CSC402, CSC301, CSC402, CSC412"
Luc Hollis,2,65,"CSC372, CSC310, CSC310, CSC301, CSC402, CSC477, WRT104, MTH141, CSC402, CSC301"
Aryana Stoltzfus,2,21,"MTH180, CSC372, CSC310"
Trinity Garber,2,47,"CSC305, CSC340, CSC412, CSC412, CSC402, CSC305, CSC440"
Frank Hooper,2,28,"PHY111, CSC305, CSC106, PHY112"
Xzavier Schaefer,2,54,"MTH180, WRT227, CSC212, PHY112, CSC301, CSC440, CSC301, CSC310, CSC310"
Tayla Pappas,2,25,"WRT104, CSC310, CSC310, CSC305"
Tyriq Mata,2,39,"CSC411, CSC211, WRT104, CSC301, CSC440, CSC212"
Brennan Guidry,2,24,"MTH180, CSC411, CSC411, CSC305"
Coy Poirier,3,79,"MTH215, MTH141, WRT104, CSC372, MTH141, MTH141, PHY112, CSC305, MTH180, CSC372, MTH215, CSC110, CSC211"
Nallely Bassett,2,51,"WRT227, MTH141, CSC212, CSC412, PHY112, CSC211, CSC402, CSC412"
Bailey Schulz,3,88,"CSC372, PHY112, CSC301, MTH142, MTH180, CSC411, CSC402, PHY112, MTH215, CSC310, CSC212, CSC305, WRT104, PHY111"
Leon Hamel,1,33,"PHY111, CSC402, CSC372, CSC440, CSC412"
Brayan Cordell,3,54,"CSC372, CSC305, CSC412, CSC305, CSC110, WRT104, MTH215, CSC411, CSC211"
Koby Gilchrist,1,29,"CSC402, MTH142, MTH142, MTH142"
Donna Sparks,1,21,"CSC110, MTH142, MTH215"
Jair Mueller,2,33,"CSC412, CSC412, CSC411, PHY111, CSC106"
Mckinley Schmitz,1,20,"CSC372, CSC412, PHY111"
Deven Leyva,1,20,"PHY112, WRT227, CSC402"
Lane Clifford,3,61,"CSC402, MTH142, CSC106, MTH141, CSC402, CSC110, MTH215, CSC440, MTH141, CSC412"
Blake Silva,2,26,"CSC305, CSC106, CSC301, CSC106"
Brayan Mulligan,2,64,"CSC106, CSC310, PHY111, MTH180, CSC310, MTH215, CSC440, CSC310, CSC440, CSC110"
Betty Cochran,1,13,"CSC412, MTH141"
Maren Wolfe,3,107,"CSC212, PHY111, CSC372, CSC477, CSC372, CSC310, CSC402, MTH215, CSC440, PHY112, CSC305, WRT104, WRT227, CSC412, PHY111, MTH215, CSC340"
Joshua Hunt,1,26,"MTH180, PHY111, CSC340, PHY112"
Kylah Flanagan,3,49,"MTH215, CSC110, CSC212, MTH180, MTH180, CSC411, MTH180, CSC477"
Talon Vang,1,28,"PHY111, CSC211, CSC310, CSC372"
Dandre Taft,1,20,"MTH180, WRT104, WRT227"
Tiera Tam,2,78,"MTH141, CSC310, MTH141, CSC310, PHY111, MTH215, MTH215, CSC372, WRT104, CSC305, CSC106, PHY112, MTH141"
Mikel Whitmore,2,37,"MTH141, CSC477, WRT104, CSC477, CSC110, CSC106"
Kameron Qualls,1,26,"CSC305, CSC212, CSC110, CSC106"
Kiersten Muniz,2,27,"MTH142, CSC110, CSC212, PHY112"
